user_id,cookie_id,timestamp,city_browsed,listing_id,price_viewed,sqft_viewed,saved,shared,contacted,scheduled,session_id
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-03-03 00:18:24.342602,Moreno Valley,MOR_listing_17,413201,1822,0,0,0,0,sess_c4476802
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-03-03 00:20:24.342602,Moreno Valley,MOR_listing_66,310313,1570,0,0,0,0,sess_c4476802
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-03-03 00:21:24.342602,Moreno Valley,MOR_listing_279,371065,1878,0,0,0,0,sess_c4476802
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-03-03 00:22:24.342602,Moreno Valley,MOR_listing_113,399672,1276,0,1,0,0,sess_c4476802
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-03-03 00:33:24.342602,Perris,PER_listing_217,569053,2143,0,0,0,0,sess_c4476802
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-03-03 00:34:24.342602,Moreno Valley,MOR_listing_107,526330,1231,0,0,0,0,sess_c4476802
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-06-08 04:07:24.342602,Menifee,MEN_listing_54,348201,1702,0,0,0,0,sess_03d393e7
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-06-08 04:08:24.342602,Moreno Valley,MOR_listing_197,364768,1745,0,0,0,0,sess_03d393e7
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-06-08 04:13:24.342602,Moreno Valley,MOR_listing_63,415973,1873,0,0,0,1,sess_03d393e7
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-06-08 04:14:24.342602,Moreno Valley,MOR_listing_59,435655,1941,0,0,0,0,sess_03d393e7
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-06-08 04:15:24.342602,Riverside,RIV_listing_131,474582,1578,0,0,0,0,sess_03d393e7
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-06-08 04:15:24.342602,Perris,PER_listing_227,324641,1533,0,0,0,0,sess_03d393e7
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-06-08 04:17:24.342602,Moreno Valley,MOR_listing_146,513568,1359,0,0,0,0,sess_03d393e7
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-06-08 04:17:24.342602,Menifee,MEN_listing_43,439078,2274,0,0,0,0,sess_03d393e7
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-06-08 04:19:24.342602,Perris,PER_listing_250,523083,1934,0,0,0,0,sess_03d393e7
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-06-08 04:21:24.342602,Menifee,MEN_listing_26,433644,1849,1,1,1,0,sess_03d393e7
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-06-08 04:23:24.342602,Moreno Valley,MOR_listing_294,395646,1707,0,0,0,0,sess_03d393e7
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-06-08 04:23:24.342602,Riverside,RIV_listing_246,485916,1574,0,0,0,0,sess_03d393e7
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-06-08 04:31:24.342602,Perris,PER_listing_283,596004,1742,0,0,0,0,sess_03d393e7
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-06-08 04:34:24.342602,Moreno Valley,MOR_listing_7,376470,1927,0,1,0,0,sess_03d393e7
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-06-08 04:51:24.342602,Moreno Valley,MOR_listing_49,568528,1682,1,0,0,0,sess_03d393e7
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-06-08 04:52:24.342602,Moreno Valley,MOR_listing_154,523731,2168,0,0,0,0,sess_03d393e7
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-06-08 04:58:24.342602,Moreno Valley,MOR_listing_30,485964,1241,0,0,0,0,sess_03d393e7
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-06-08 04:59:24.342602,Moreno Valley,MOR_listing_147,490986,1845,0,0,0,0,sess_03d393e7
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-06-08 05:19:24.342602,Perris,PER_listing_131,393873,2343,0,0,0,0,sess_03d393e7
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-07-19 08:59:24.342602,Riverside,RIV_listing_105,423047,1253,0,0,0,0,sess_68d47fa8
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-07-19 09:03:24.342602,Perris,PER_listing_231,486336,1810,0,0,0,0,sess_68d47fa8
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-07-19 09:05:24.342602,Moreno Valley,MOR_listing_66,330681,1363,0,0,0,0,sess_68d47fa8
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-07-19 09:05:24.342602,Perris,PER_listing_65,345705,2031,0,0,0,0,sess_68d47fa8
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-07-19 09:09:24.342602,Perris,PER_listing_124,438533,2036,0,0,0,0,sess_68d47fa8
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-07-19 09:11:24.342602,Perris,PER_listing_148,410746,2329,0,0,0,0,sess_68d47fa8
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-07-19 09:11:24.342602,Menifee,MEN_listing_8,492871,1311,0,0,0,0,sess_68d47fa8
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-07-19 09:12:24.342602,Perris,PER_listing_232,401472,1646,0,0,0,0,sess_68d47fa8
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-07-19 09:13:24.342602,Riverside,RIV_listing_218,415915,2070,0,0,0,0,sess_68d47fa8
user_225,0099c918-1be4-4ecb-9dd1-b02bd60fade9,2025-07-19 09:23:24.342602,Menifee,MEN_listing_90,584467,1940,1,0,1,1,sess_68d47fa8
